file,artist,title,year,genre
Einsturzende Neubauten/Einsturzende Neubauten - Halber Mensch/02-Einsturzende Neubauten-Yu-Gung (Futter mein Ego).mp3,Einsturzende Neubauten,Yu-Gung (Futter mein Ego),1985,Industrial
Einsturzende Neubauten/Einsturzende Neubauten - Halber Mensch/08-Einsturzende Neubauten-Letztes Biest (am Himmel).mp3,Einsturzende Neubauten,Letztes Biest (am Himmel),1985,Industrial
Einsturzende Neubauten/Einsturzende Neubauten - Halber Mensch/09-Einsturzende Neubauten-Das Schaben.mp3,Einsturzende Neubauten,Das Schaben,1985,Industrial
Einsturzende Neubauten/Einsturzende Neubauten - Halber Mensch/11-Einsturzende Neubauten-Yu-Gung (Adrian Sherwood Remix).mp3,Einsturzende Neubauten,Yu-Gung (Adrian Sherwood Remix,1985,Industrial
Einsturzende Neubauten/Einsturzende Neubauten - Halber Mensch/03-Einsturzende Neubauten-Trinklied.mp3,Einsturzende Neubauten,Trinklied,1985,Industrial
Einsturzende Neubauten/Einsturzende Neubauten - Halber Mensch/05-Einsturzende Neubauten-Seele brennt.mp3,Einsturzende Neubauten,Seele brennt,1985,Industrial
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/03. The Boxer.mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/10. America.mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/06. I Am a Rock.mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/01. Mrs. Robinson.mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/07. Scarborough Fair _ Canticle.mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/12. El Cóndor Pasa (If I Could).mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/08. Homeward Bound (live).mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/05. The Sound of Silence.mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/04. The 59th Street Bridge Song (Feelin' Groovy) (live).mp3,"","","",""
"Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/02. For Emily, Whenever I May Find Her (live).mp3","","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/14. Cecilia.mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/11. Kathy's Song (live).mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/13. Bookends Theme.mp3,"","","",""
Simon and Garfunkel/Simon and Garfunkel - Greatest Hits Soft Rock Collection/09. Bridge Over Troubled Water.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/66 - Duke Loves You Madly.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/14 - The Gal from Joe's.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/18 - Prelude to a Kiss.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/13 - Caravan.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/12 - In a Jam.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/11 - In a Sentimental Mood.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/19 - Slap Happy.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/62 - Lotus Blossom.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/28 - You're Just an Old Antidisestablishmentarianismist.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/02 - East St. Louis Toodle-Oo.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/23 - Little Posey.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/60 - Creole Blues (Excerpt from Creole Rhapsody).mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/42 - Brown Betty.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/48 - Blue Rose.mp3,"","","",""
